category,sub_category,metric_name,description,unit,example_value,view,persona,source,notes
Agency Operations,Portfolio Overview,Total Accounts Assigned,Total number of accounts in the current placement,count,12000,Insights / Portfolio,Manager (Satyak),All meetings,Core portfolio metric
Agency Operations,Portfolio Overview,Total Portfolio Value,Total outstanding balance across all accounts,USD,$33.6M,Insights / Portfolio,Manager (Satyak),CLAUDE.md,Core portfolio metric
Agency Operations,Portfolio Overview,Average Balance,Average outstanding balance per account,USD,$2800,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,Portfolio Age Mix,Distribution of accounts by months since charge-off,months,6–36 months,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,Debt Type Breakdown,% split across credit card / personal loan / medical,percentage,"Credit Card 42%, Personal Loan 28%, Medical 30%",Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,State Distribution,Account volume by state (top states),percentage,"TX 18%, FL 15%, CA 14%, NY 12%, IL 8%",Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,Prior Placement Mix,% primary / secondary / tertiary placements,percentage,"Primary 45%, Secondary 35%, Tertiary 20%",Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,Average Months Since Charge-off,Average delinquency age across portfolio,months,14,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Portfolio Overview,Placement Period,Duration for which accounts are placed with the agency,months,varies,Portfolio,Manager (Satyak),Apr 8 transcript,From AmEx analytics framework
Agency Operations,Portfolio Overview,Monthly Placement Volume,Number of new accounts placed each month,count,varies,Portfolio,Manager (Satyak),Apr 8 transcript,From AmEx analytics framework
Agency Operations,Enrichment Pipeline,Unreachable Accounts,Accounts with no valid contact info at time of placement,count,1847,Portfolio / Insights,Manager (Satyak),Apr 7 transcript,Part of engagement pipeline
Agency Operations,Enrichment Pipeline,Enriched Accounts,Accounts recovered via skip tracing / data enrichment,count,1312,Portfolio / Insights,Manager (Satyak),Apr 7 transcript,
Agency Operations,Enrichment Pipeline,Successfully Contacted Post-Enrichment,Enriched accounts that were successfully contacted,count,487,Portfolio / Insights,Manager (Satyak),Apr 7 transcript,
Agency Operations,Enrichment Pipeline,Converted Post-Enrichment,Enriched accounts that resulted in payment/PTP,count,89,Portfolio / Insights,Manager (Satyak),Apr 7 transcript,
Agency Operations,Enrichment Pipeline,Enrichment Conversion Rate,% of enriched accounts that converted,percentage,6.8%,Portfolio,Manager (Satyak),Apr 7 transcript,89/1312
Agency Operations,Enrichment Pipeline,Phone (Cell) Coverage,% of accounts with cell phone on file,percentage,72%,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Enrichment Pipeline,Phone (Landline) Coverage,% of accounts with landline on file,percentage,41%,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Enrichment Pipeline,Email Coverage,% of accounts with email on file,percentage,58%,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Enrichment Pipeline,SMS-Eligible Coverage,% of accounts with cell + TCPA consent,percentage,68%,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Enrichment Pipeline,Data Issues Count,Accounts flagged for missing/invalid data at intake,count,153,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Performance,Liquidation Rate,Payments collected as % of total portfolio value,percentage,2.7%,Insights / Performance,Manager (Satyak),All meetings,Primary KPI; target 2.5%
Agency Operations,Performance,6-Month Average Liquidation Rate,Rolling 6-month average of 12-month liquidation rates,percentage,varies,Performance,Manager (Satyak),Apr 8 transcript,From AmEx analytics framework
Agency Operations,Performance,Target Liquidation Rate,Client-agreed activation benchmark for liquidation,percentage,2.5%,Performance,Manager (Satyak),CLAUDE.md,
Agency Operations,Performance,Contact Rate,% of accounts reached via any channel,percentage,38%,Insights / Performance,Manager (Satyak),All meetings,Target 40%
Agency Operations,Performance,RPC Rate,Right Party Contact — confirmed debtor reached,percentage,28%,Insights / Performance,Manager (Satyak),Apr 8 transcript,Renamed from "Contact Rate" in some views; target 30%
Agency Operations,Performance,RPC to PTP Conversion Rate,% of RPCs that result in a Promise to Pay,percentage,12%,Insights / Performance,Manager (Satyak),Apr 8 transcript,Target 12%
Agency Operations,Performance,PTP Adherence Rate,% of promises kept by consumers,percentage,68%,Insights / Performance,Manager (Satyak),All meetings,Target 70%
Agency Operations,Performance,Abandoned Rate,% of inbound calls abandoned before resolution (formerly Drop-off Rate),percentage,18%,Insights / Performance,Manager (Satyak),Apr 8 transcript,Industry standard term; renamed from Drop-off Rate
Agency Operations,Performance,Resolution Rate,% of total accounts resolved (payments + PTP kept + self-pay),percentage,8.4%,Insights / Performance,Manager (Satyak),Apr 8 transcript,Higher than PTP rate; includes accounts paid without giving PTP
Agency Operations,Performance,Accounts Resolved,Total number of accounts closed/resolved (cumulative),count,743,Insights,Manager (Satyak),CLAUDE.md,
Agency Operations,Performance,Total Collected,Total $ amount collected in period,USD,$287400,Insights,Manager (Satyak),CLAUDE.md,
Agency Operations,Performance,Agency Comparison / Benchmark,Performance vs other agencies on same portfolio type,score/rank,varies,Performance,Manager (Satyak),Apr 8 transcript,Benchmarking methodology for client view
Agency Operations,Cohort Management,Cohort Account Count,Number of accounts in each propensity/balance cohort,count,varies by cohort,Portfolio,Manager (Satyak),CLAUDE.md,5 cohorts defined
Agency Operations,Cohort Management,Cohort Total Value,Total portfolio value per cohort,USD,varies by cohort,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Cohort Avg Balance,Average balance per cohort,USD,varies by cohort,Portfolio,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Cohort Liquidation Rate,Liquidation rate per cohort,percentage,varies,Portfolio / Performance,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Cohort Contact Rate,Contact rate per cohort,percentage,varies,Portfolio / Performance,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Cohort RPC Rate,RPC rate per cohort,percentage,varies,Portfolio / Performance,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Cohort PTP Rate,PTP rate per cohort,percentage,varies,Portfolio / Performance,Manager (Satyak),CLAUDE.md,
Agency Operations,Cohort Management,Pre-Engagement Score,Propensity score before contact (FICO / credit bureau / loan data),score,varies,Portfolio,Manager (Satyak),Apr 7 transcript,Static model input
Agency Operations,Cohort Management,Post-Engagement Score,Updated propensity score based on response/contact/payment behavior,score,varies,Portfolio,Manager (Satyak),Apr 7 transcript,Dynamic; updates as engagement happens
Agency Operations,Cohort Management,Cohort Migration Count,Number of accounts moved between cohorts due to re-scoring,count,340,Portfolio / Insights,Manager (Satyak),CLAUDE.md; Apr 7 transcript,Example: 340 moved Low → Medium
Agency Operations,Cohort Management,Balance Level,Balance tier per account: low / medium / high,category,low/medium/high,Portfolio,Analyst Agent,Apr 7 transcript,Part of cohort terminology framework
Agency Operations,Cohort Management,Priority / Propensity Level,Propensity tier: low / medium / high,category,low/medium/high,Portfolio,Analyst Agent,Apr 7 transcript,Part of cohort terminology framework
Inbound Call Metrics,Inbound Funnel,Total Inbound Calls,Total inbound call volume for period,count,varies,Performance / Quality,Manager (Satyak),Prior session,
Inbound Call Metrics,Inbound Funnel,Calls Attended,Inbound calls answered by bot or agent,count,varies,Performance / Quality,Manager (Satyak),Prior session,
Inbound Call Metrics,Inbound Funnel,Abandoned Rate,% of inbound calls dropped before resolution,percentage,18%,Insights,Manager (Satyak),Apr 8 transcript,Industry standard term confirmed
Inbound Call Metrics,Inbound Funnel,Average Handle Time (AHT),Avg duration of inbound calls handled,minutes,4,Performance / Quality,Manager (Satyak),CLAUDE.md,Payment bot: avg 4 min
Inbound Call Metrics,Inbound Funnel,Bot Completion Rate,% of inbound bot calls completed without agent transfer,percentage,78%,Performance,Manager (Satyak),CLAUDE.md,
Inbound Call Metrics,Inbound Funnel,Live Transfer Rate,% of inbound calls escalated to live agent,percentage,varies,Performance,Manager (Satyak),CLAUDE.md,
